OBJECTID_1,POINT_X,POINT_Y,Bare_SAVI,Bare_NDVI,BARE_GNDVI,Bare_OSAVI
324,-104.999704,40.665856,0.084794,0.125,0.268852,0.104497
325,-104.999586,40.665856,0.081472,0.120039,0.259662,0.100377
326,-104.999468,40.665856,0.07536,0.110683,0.242865,0.092703
327,-104.999349,40.665856,0.070684,0.103088,0.223393,0.086651
328,-104.999231,40.665856,0.070348,0.102022,0.22147,0.085999
329,-104.999113,40.665856,0.067872,0.098631,0.21821,0.083056
330,-104.998994,40.665856,0.069888,0.101124,0.226917,0.085341
331,-104.998876,40.665856,0.064401,0.093208,0.21436,0.078651
332,-104.998758,40.665856,0.070297,0.100782,0.216065,0.085449
333,-104.998639,40.665856,0.068225,0.097572,0.21501,0.082829
334,-104.998521,40.665856,0.068995,0.098361,0.217567,0.083632
335,-104.998403,40.665856,0.075064,0.106498,0.221116,0.090769
336,-104.998285,40.665856,0.072797,0.103731,0.221551,0.088219
337,-104.998166,40.665856,0.071368,0.101449,0.223956,0.086383
338,-104.998048,40.665856,0.065882,0.093538,0.209395,0.079695
339,-104.99793,40.665856,0.072565,0.104603,0.214103,0.088445
340,-104.997811,40.665856,0.077821,0.112888,0.232934,0.095147
341,-104.997693,40.665856,0.076832,0.111425,0.234465,0.093926
342,-104.997575,40.665856,0.074238,0.107663,0.23093,0.090755
343,-104.997456,40.665856,0.072575,0.105737,0.235824,0.088924
344,-104.997338,40.665856,0.072364,0.106199,0.231016,0.088983
345,-104.99722,40.665856,0.075098,0.109838,0.232238,0.092191
346,-104.997101,40.665856,0.071675,0.103448,0.233333,0.087413
347,-104.996983,40.665856,0.069032,0.099535,0.22487,0.084149
348,-104.996865,40.665856,0.068255,0.098737,0.219107,0.083337
349,-104.996747,40.665856,0.073099,0.106282,0.230042,0.089475
350,-104.996628,40.665856,0.076393,0.112289,0.235546,0.09401
351,-104.99651,40.665856,0.073026,0.107767,0.235517,0.090042
352,-104.996392,40.665856,0.072783,0.108161,0.241189,0.090049
353,-104.996273,40.665856,0.074369,0.111001,0.252514,0.092207
354,-104.999823,40.665766,0.090228,0.131591,0.261653,0.110609
355,-104.999704,40.665766,0.088159,0.128375,0.26366,0.10799
356,-104.999586,40.665766,0.082077,0.118581,0.263047,0.10015
357,-104.999468,40.665766,0.077926,0.112669,0.25,0.095121
358,-104.999349,40.665766,0.076981,0.110802,0.239524,0.093757
359,-104.999231,40.665766,0.079385,0.113449,0.230536,0.096343
360,-104.999113,40.665766,0.070392,0.100548,0.221715,0.085408
361,-104.998994,40.665766,0.068602,0.097683,0.224531,0.083106
362,-104.998876,40.665766,0.065523,0.093479,0.214792,0.079452
363,-104.998758,40.665766,0.070611,0.100181,0.218391,0.085385
364,-104.998639,40.665766,0.068541,0.096487,0.223821,0.082558
365,-104.998521,40.665766,0.067811,0.09482,0.218964,0.081404
