PH,OM,Nitrate_N,Olsen_P,K,Ca,Mg,Sand,Silt,Clay
8.13168,1.31194,7.49162,4.99721,230.355,5125.78,671.159,47.486,18.4246,34.1771
8.12661,1.37123,8.38613,5.65844,233.529,5166.2,674.698,47.3734,18.3407,34.5114
8.12102,1.39634,9.44637,5.90154,238.05,5180.18,675.074,47.2919,18.0822,34.6511
8.12264,1.4107,10.0947,6.26357,241.372,5192.27,673.853,47.1675,18.0107,34.6154
8.11576,1.43399,10.9161,7.07769,245.443,5207.59,670.174,47.0445,17.9784,34.8689
8.10617,1.45881,11.5205,6.7236,241.236,5186.77,666.146,47.2072,17.7052,34.9034
8.11481,1.37412,11.4982,6.66132,242.156,5219.15,656.955,47.375,17.4271,35.0768
8.12124,1.31546,11.7,6.80905,240.345,5270.4,645.156,47.5992,17.2054,35.2577
8.11344,1.29725,12.0154,6.30099,238.463,5335.7,629.161,47.8162,17.0263,35.3049
8.11275,1.29077,12.0933,6.56754,237.064,5292.84,616.855,47.9419,16.8869,35.2079
8.10927,1.29322,12.1691,6.80501,238.305,5260.51,607.708,48.1787,16.7612,35.1147
8.0959,1.29506,13.0309,7.0831,241.581,5262.63,606.19,48.4318,16.6138,34.8711
8.08197,1.31813,13.6164,6.96031,241.908,5234.15,609.237,48.3614,16.704,34.9268
8.07102,1.36249,14.4824,7.33877,246.393,5212.83,613.89,48.4733,16.6836,34.822
8.06134,1.44382,15.2615,7.37348,248.97,5203.08,620.169,48.3315,16.8065,35.0732
8.05304,1.50133,16.0504,7.60863,253.022,5172.29,621.73,48.0283,16.9565,35.0929
8.05397,1.54197,16.3039,7.76486,253.896,5120.5,619.596,47.6328,17.2423,35.2175
